game_id,game_name,view_count
12924,Warcraft III: The Frozen Throne,17423
499973,Always On,16849
27284,Retro,16738
509672,Travel & Outdoors,15697
14304,Diablo II: Lord of Destruction,15577
11557,The Legend of Zelda: Ocarina of Time,15537
491080,The Binding of Isaac: Afterbirth,14986
10229,Final Fantasy XI Online,14753
488426,Extra Life,14132
488634,Don't Starve Together,14110
509670,Science & Technology,13760
29433,Dark Souls,13607
2798,Heroes of Might and Magic III: The Shadow of Death,13461
24241,FINAL FANTASY XIV Online,13314
490413,Board Games,13112
510590,Hades,13004
493815,Oxygen Not Included,12469
490608,Super Mario Maker,12278
489111,Summoners War: Sky Arena,12051
497467,Monster Hunter World,11781
491403,Eternal,11601
13389,Age of Empires II,11598
491572,Stellaris,11571
488632,Enter the Gungeon,11349
417752,Talk Shows & Podcasts,10924
743,Chess,10678
110758,The Legend of Zelda: Breath of the Wild,10656
509802,Football Manager 2019,10384
489776,Fallout 4,10319
2692,Super Mario 64,10081
506104,Madden NFL 19,9779
496253,Quake Champions,9580
65632,DayZ,9524
499003,VRChat,8896
493217,Gwent: The Witcher Card Game,8774
31750,Arma 3,8678
493959,Red Dead Redemption 2,8534
499507,Welcome to the Game II,8124
9747,The King of Fighters '98: The Slugfest,8011
510056,Epic Seven,7948
499634,Crypto,7881
417969,Halo: The Master Chief Collection,7857
490921,The Jackbox Party Pack 2,7846
506429,Just Dance 2019,7731
505884,PUBG MOBILE,7566
394568,RimWorld,7484
504798,FIFA Online 4,7470
460636,Bloodborne,7466
494508,Yu-Gi-Oh! Duel Links,7269
509974,Ragnarok M: Eternal Love,7260
23453,Fallout: New Vegas,7257
369252,The Sims 4,7196
491334,Kartrider,7072
66122,Plague Inc.,7028
29056,Knight Online,6827
378902,Moonlight Blade,6815
495961,Dead Cells,6576
369588,Mario Kart 8,6547
497385,Dragon Ball FighterZ,6542
509577,Dungeons & Dragons,6446
67584,Europa Universalis IV,6358
26569,Alliance of Valiant Arms,6288
65663,Company of Heroes 2,6092
7022,The Forest,6034
9435,The Legend of Zelda: A Link to the Past,5912
18846,Garry's Mod,5885
506073,Escape First,5866
9455,Super Mario Bros. 3,5813
66254,Hotline Miami,5682
6715,Doom,5636
10979,The Legend of Zelda,5580
500196,Hand Simulator,5561
509986,Langrisser Mobile,5541
491115,Paladins,5482
508697,Iris.Fall,5345
15921,Prince of Persia: Warrior Within,5290
492504,Human: Fall Flat,5258
271231,M.U.G.E.N,5067
497571,Wrestling,4991
417892,H1Z1,4989
13263,EVE Online,4866
460521,Mortal Kombat X,4763
510043,Darwin's Test,4750
509549,Pummel Party,4714
25826,Flash,4634
1229,Super Mario World,4626
506412,Devil May Cry 5,4615
23020,ROBLOX,4554
488769,MapleStory 2,4500
491168,Clash Royale,4489
506342,Hitman 2,4484
115977,The Witcher 3: Wild Hunt,4416
494099,Kingdom Hearts HD I.5 + II.5 Remix,4387
459382,Gears of War 4,4352
83071,Counter-Strike Online,4350
490744,Stardew Valley,4319
497480,Detroit: Become Human,4301
19976,MapleStory,4290
491289,Infestation: The New Z,4275
458781,No Man's Sky,4220
19357,Guild Wars 2,4186
16282,Super Smash Bros. Melee,4172
498807,X4: Foundations,4166
509064,Hello Neighbor: Hide and Seek,4163
10322,Final Fantasy X,4130
7595,Super Metroid,4123
505480,Dungeon Hunter Champions,4088
